OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,INSTALL_MO,INSTALL_YR,UPDATE_MO,UPDATE_YR,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
66,24264000,,FOLSOM ST,SHERMAN ST,INTERSECTION SHARROW,1,1,2018,,,POINT (-122.407005 37.777393),32,1,10,34,32
156,30757000,,MARKET ST,GUERRERO ST,BIKE BOX,1,4,2018,,,POINT (-122.42484 37.770744),27,1,5,20,27
182,21897000,,GUERRERO ST,CESAR CHAVEZ ST,MIXING ZONE,1,8,2017,,,POINT (-122.42248 37.74801),83,3,2,22,83
90,30758000,,MARKET ST,DUBOCE AVE,CROSSBIKE,1,,2014,,,POINT (-122.42629 37.769596),37,3,5,20,37
327,24594000,,2ND ST,MINNA ST,INTERSECTION SHARROW,2,5,2019,,,POINT (-122.39924 37.787575),32,1,10,8,32
107,24265000,,7TH ST,HOWARD ST,TWO-STAGE LEFT,1,4,2017,,,POINT (-122.40937 37.777973),32,1,10,34,32
60,33105000,,CARGO WAY,MENDELL ST,BIKE SIGNAL,4,,2012,,,POINT (-122.3831 37.743877),56,2,9,1,56
145,30756000,SW,MARKET ST,OCTAVIA BLVD,TWO-STAGE LEFT,1,5,2019,,,POINT (-122.423386 37.77188),32,1,5,20,32
43,30734000,NE,MARKET ST,2ND ST,BIKE BOX,1,4,2016,,,POINT (-122.40136 37.78926),108,6,10,8,108
24,26030000,,SCOTT ST,FELL ST,BIKE SIGNAL,2,7,2016,0,0,POINT (-122.43593 37.774273),26,4,11,9,26
1921,27377000,,20TH AVE,LINCOLN WAY,BIKE BOX,1,10,2020,,,POINT (-122.47831 37.765392),39,10,7,35,39
203,26347000,,MASONIC AVE,FELL ST,BIKE BOX,1,8,2018,,,POINT (-122.44589 37.77299),24,7,11,12,24
91,30753000,NE,MARKET ST,HAIGHT ST,BIKE BOX,1,,2011,,,POINT (-122.42193 37.77303),32,1,10,20,32
164,24539000,,2ND ST,TEHAMA ST,INTERSECTION SHARROW,2,11,2018,,,POINT (-122.39769 37.786335),32,1,10,8,32
641,23946000,E,HOWARD ST,6TH ST,MIXING ZONE,1,4,2019,,,POINT (-122.40714 37.779736),32,1,10,34,32
8,21349000,NE,SAN JOSE AVE,29TH ST,BIKE BOX,1,,2011,,,POINT (-122.42265 37.74394),83,9,2,2,83
181,21890000,,SAN JOSE AVE,30TH ST,MIXING ZONE,1,8,2017,,,POINT (-122.42327 37.74229),83,9,2,2,83
47,25199000,,POLK ST,CEDAR ST,INTERSECTION SHARROW,2,5,2019,,,POINT (-122.41982 37.786354),50,4,10,36,50
110,24228000,,13TH ST,HARRISON ST,INTERSECTION SHARROW,3,9,2015,5,2017,POINT (-122.41337 37.769497),53,3,2,20,53
208,23872000,,8TH ST,BRANNAN ST,INTERSECTION SHARROW,1,6,2019,,,POINT (-122.40541 37.77129),33,1,10,34,33
134,23786000,,7TH ST,DAGGETT ST,INTERSECTION SHARROW,1,7,2019,,,POINT (-122.39581 37.767162),34,1,9,4,34
212,25806000,,MARKET ST,SANCHEZ ST,BIKE BOX,2,11,2016,2019,5,POINT (-122.431015 37.76586),37,3,5,5,37
1605,34186000,,7TH ST,MISSION BAY BLVD,BIKE SIGNAL,2,8,2020,,,POINT (-122.398605 37.769386),34,1,10,4,34
207,30756000,,MARKET ST,OCTAVIA BLVD,INTERSECTION SHARROW,5,,2013,2019,5,POINT (-122.423386 37.77188),32,1,5,20,32
99,24262000,,7TH ST,FOLSOM ST,MIXING ZONE,1,4,2017,,,POINT (-122.40783 37.77674),32,1,10,34,32
19,27230000,,ARGUELLO BLVD,GEARY BLVD,INTERSECTION SHARROW,2,10,2016,,,POINT (-122.45885 37.781254),12,8,4,18,12
100,24291000,,7TH ST,MINNA ST,INTERSECTION SHARROW,1,4,2017,,,POINT (-122.410385 37.77878),32,1,10,34,32
73,25180000,,POLK ST,OLIVE ST,INTERSECTION SHARROW,2,5,2019,,,POINT (-122.41944 37.784496),20,4,10,36,20
40,24216000,,DIVISION ST,11TH ST,INTERSECTION SHARROW,1,9,2015,,,POINT (-122.41092 37.769405),32,3,9,20,32
128,24462000,,POLK ST,MCALLISTER ST,TWO-STAGE LEFT,1,5,2019,,,POINT (-122.41859 37.780254),21,4,10,36,21
1282,25901000,,PAGE ST,WEBSTER ST,INTERSECTION SHARROW,1,2,2020,,,POINT (-122.42898 37.773243),26,4,11,9,26
30,26796000,,SCOTT ST,MARINA BLVD,BIKE SIGNAL,2,,2013,,,POINT (-122.4422 37.805782),17,4,6,13,17
